C:\Aiproj\simulator-windows-64\Data\IMG\center_2023_12_01_18_05_44_396.jpg, C:\Aiproj\simulator-windows-64\Data\IMG\left_2023_12_01_18_05_44_396.jpg, C:\Aiproj\simulator-windows-64\Data\IMG\right_2023_12_01_18_05_44_396.jpg, 0, 0, 0, 7.761561E-05
C:\Aiproj\simulator-windows-64\Data\IMG\center_2023_12_01_18_05_44_511.jpg, C:\Aiproj\simulator-windows-64\Data\IMG\left_2023_12_01_18_05_44_511.jpg, C:\Aiproj\simulator-windows-64\Data\IMG\right_2023_12_01_18_05_44_511.jpg, 0, 0, 0, 8.001787E-05
C:\Aiproj\simulator-windows-64\Data\IMG\center_2023_12_01_18_05_44_624.jpg, C:\Aiproj\simulator-windows-64\Data\IMG\left_2023_12_01_18_05_44_624.jpg, C:\Aiproj\simulator-windows-64\Data\IMG\right_2023_12_01_18_05_44_624.jpg, 0, 0, 0, 7.977695E-05
C:\Aiproj\simulator-windows-64\Data\IMG\center_2023_12_01_18_05_44_736.jpg, C:\Aiproj\simulator-windows-64\Data\IMG\left_2023_12_01_18_05_44_736.jpg, C:\Aiproj\simulator-windows-64\Data\IMG\right_2023_12_01_18_05_44_736.jpg, 0, 0, 0, 7.802252E-05
C:\Aiproj\simulator-windows-64\Data\IMG\center_2023_12_01_18_05_44_840.jpg, C:\Aiproj\simulator-windows-64\Data\IMG\left_2023_12_01_18_05_44_840.jpg, C:\Aiproj\simulator-windows-64\Data\IMG\right_2023_12_01_18_05_44_840.jpg, 0, 0, 0, 7.851074E-05
C:\Aiproj\simulator-windows-64\Data\IMG\center_2023_12_01_18_05_44_947.jpg, C:\Aiproj\simulator-windows-64\Data\IMG\left_2023_12_01_18_05_44_947.jpg, C:\Aiproj\simulator-windows-64\Data\IMG\right_2023_12_01_18_05_44_947.jpg, 0, 0, 0, 7.867267E-05
C:\Aiproj\simulator-windows-64\Data\IMG\center_2023_12_01_18_05_45_052.jpg, C:\Aiproj\simulator-windows-64\Data\IMG\left_2023_12_01_18_05_45_052.jpg, C:\Aiproj\simulator-windows-64\Data\IMG\right_2023_12_01_18_05_45_052.jpg, 0, 0, 0, 7.937857E-05
C:\Aiproj\simulator-windows-64\Data\IMG\center_2023_12_01_18_05_45_170.jpg, C:\Aiproj\simulator-windows-64\Data\IMG\left_2023_12_01_18_05_45_170.jpg, C:\Aiproj\simulator-windows-64\Data\IMG\right_2023_12_01_18_05_45_170.jpg, 0, 0, 0, 7.987103E-05
C:\Aiproj\simulator-windows-64\Data\IMG\center_2023_12_01_18_05_45_275.jpg, C:\Aiproj\simulator-windows-64\Data\IMG\left_2023_12_01_18_05_45_275.jpg, C:\Aiproj\simulator-windows-64\Data\IMG\right_2023_12_01_18_05_45_275.jpg, 0, 0, 0, 7.845752E-05
C:\Aiproj\simulator-windows-64\Data\IMG\center_2023_12_01_18_05_45_375.jpg, C:\Aiproj\simulator-windows-64\Data\IMG\left_2023_12_01_18_05_45_375.jpg, C:\Aiproj\simulator-windows-64\Data\IMG\right_2023_12_01_18_05_45_375.jpg, 0, 0, 0, 7.82405E-05
C:\Aiproj\simulator-windows-64\Data\IMG\center_2023_12_01_18_05_45_486.jpg, C:\Aiproj\simulator-windows-64\Data\IMG\left_2023_12_01_18_05_45_486.jpg, C:\Aiproj\simulator-windows-64\Data\IMG\right_2023_12_01_18_05_45_486.jpg, 0, 0, 0, 7.823647E-05
C:\Aiproj\simulator-windows-64\Data\IMG\center_2023_12_01_18_05_45_612.jpg, C:\Aiproj\simulator-windows-64\Data\IMG\left_2023_12_01_18_05_45_612.jpg, C:\Aiproj\simulator-windows-64\Data\IMG\right_2023_12_01_18_05_45_612.jpg, 0, 0, 0, 7.952487E-05
